Command Name,Instruction Code,STATE NAME,D2,D1,D0,AB FLAG,Carry Flag,MainBus,Count,CounterOutControl,InsRegControl,RegAControl,RegBControl,MainRegReadControl,LowJumpRegLoad,HighJumpRegLoad,JumpEnable,MainRegOutputControl,MemOutEnable,MemWriteControl,Ram_LowControl,Ram_HighControl,Ram_Addr_Enable,StackCount,StackOutControl,DisplayControl,LowStackJump,HighStackJump,StackCountDirection
NOP,10111111,0,0,0,0,X,X,Z,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
NOP,10111111,1,0,0,1,X,X,Z,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
NOP,10111111,2,0,1,1,X,X,Z,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
NOP,10111111,3,1,1,1,X,X,Z,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
NOP,10111111,4,1,1,0,X,X,Z,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
NOP,10111111,5,1,0,0,X,X,Z,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command Name,Instruction Code,STATE NAME,D2,D1,D0,AB FLAG,Carry Flag,MainBus,Count,CounterOutControl,InsRegControl,RegAControl,RegBControl,MainRegReadControl,LowJumpRegLoad,HighJumpRegLoad,JumpEnable,MainRegOutputControl,MemOutEnable,MemWriteControl,Ram_LowControl,Ram_HighControl,Ram_Addr_Enable,StackCount,StackOutControl,DisplayControl,LowStackJump,HighStackJump,StackCountDirection
AIN,10000000,0,0,0,0,X,X,Z,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
AIN,10000000,1,0,0,1,X,X,Z,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
